"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR340|MIR340",10.899440754975,-0.142591557115657,1.13253138829923,-0.125905170124947,0.899806990079349,0.996139221459177
"CANX|CANX",15829.1942436716,0.0970378923228735,0.491576314345905,0.197401480687679,0.843513370997518,0.996139221459177
"TICAM2|TICAM2",136.672576457473,-0.729429666554061,0.498841399148224,-1.46224765586731,0.14367335672603,0.996139221459177
"TMED7|TMED7",2801.0747480958,0.0809425821276635,0.424843200331734,0.190523426206328,0.848898987917793,0.996139221459177
"IL5|IL5",11.5861906303276,1.36145914124651,1.75044898411341,0.777777103818924,0.43670042810905,0.996139221459177
"GDF9|GDF9",18.4086361231426,0.225824980208514,1.32438311066172,0.170513334389837,0.864606448596305,0.996139221459177
"HSPA4|HSPA4",4772.6559177541,0.233045738750489,0.40708555397899,0.572473615122478,0.567001155950842,0.996139221459177
"SKP1|SKP1",4643.73645571217,0.607583275145732,0.502131042440851,1.21000938757397,0.226275290705626,0.996139221459177
"PPP2CA|PPP2CA",2379.04654679055,-0.189807324261066,0.351743974123398,-0.539617842023011,0.589460609520347,0.996139221459177
"ETF1|ETF1",1657.84230593172,0.166032905515248,0.385194089721036,0.431037001724226,0.666441466224532,0.996139221459177
"MATR3|MATR3",12524.3346110452,0.425719972856199,0.422695619987615,1.00715491887205,0.313860333125092,0.996139221459177
"IL33|IL33",5.02039718162664,-1.09052191702336,3.51962536383138,-0.309840339324139,0.756682373753746,0.996139221459177
"RPS6|RPS6",40515.361547509,0.229889614175438,0.358622384913772,0.641035316941281,0.521499737512706,0.996139221459177
"CDKN2B|CDKN2B",44.878684364592,0.856449744985026,0.661246052841913,1.29520583344757,0.195249233009465,0.996139221459177
"IFNK|IFNK",14.016128709733,-0.309472106651178,1.54460317316037,-0.200357031520255,0.84120136196182,0.996139221459177
